Código,Nome,Enderezo,Concello,Provincia,CP,Telefono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15006663,CEIP Cruceiro de Canido,Cruceiro de Canido s/n,Ferrol,A Coru&ntilde;a,15401,881930317,CEIP,43.484425,-8.239199,P&uacute;blica,Non,Si
15006687,IES de Catabois,Estrada de Catabois s/n,Ferrol,A Coru&ntilde;a,15405,881930233,IES,43.50658,-8.220569,P&uacute;blica,Non,Si
15006699,CEIP Recimil,Vivendas Protexidas s/n,Ferrol,A Coru&ntilde;a,15403,881930312,CEIP,43.48733,-8.225192,P&uacute;blica,Non,Si
15006729,CEE Terra de Ferrol,San Pedro de Leixa s/n,Ferrol,A Coru&ntilde;a,15405,881930187,CEE,43.510532,-8.214351,P&uacute;blica,Non,Si
15006730,IES Sof&iacute;a Casanova,R&uacute;a O Galego Soto s/n,Ferrol,A Coru&ntilde;a,15403,981311500,IES,43.485897,-8.222199,P&uacute;blica,Non,Si
15006742,IES Concepci&oacute;n Arenal,R&uacute;a Cuntis s/n,Ferrol,A Coru&ntilde;a,15403,881930170,IES,43.487774,-8.22876,P&uacute;blica,Non,Si
15006754,CIFP Ferrolterra,Avenida Ram&oacute;n y Cajal s/n,Ferrol,A Coru&ntilde;a,15403,981333107,CIFP,43.486702,-8.222827,P&uacute;blica,Non,Si
15006778,CIFP Rodolfo Ucha Pi&ntilde;eiro,"Avenida Castelao, 64 (Caranza)",Ferrol,A Coru&ntilde;a,15406,881930145,CIFP,43.481163,-8.202045,P&uacute;blica,Non,Si
15006791,IES Saturnino Montojo,Avenida Mac Mahon s/n,Ferrol,A Coru&ntilde;a,15403,881930225,IES,43.479713,-8.225016,P&uacute;blica,Non,Si
15006845,CEIP Isaac Peral,Avenida Mac Mahon s/n,Ferrol,A Coru&ntilde;a,15403,881930210,CEIP,43.480732,-8.225364,P&uacute;blica,Non,Si
